city,day,cases,deaths,incoming_flight_count,outgoing_flight_count
BOSTON,2020-02-01,1,0,341,310
BOSTON,2020-02-02,1,0,299,293
BOSTON,2020-02-03,1,0,395,405
BOSTON,2020-02-04,1,0,423,424
BOSTON,2020-02-05,1,0,392,387
BOSTON,2020-02-06,1,0,378,378
BOSTON,2020-02-07,1,0,400,378
BOSTON,2020-02-08,1,0,364,332
BOSTON,2020-02-09,1,0,312,322
BOSTON,2020-02-10,1,0,404,406
BOSTON,2020-02-11,1,0,418,397
BOSTON,2020-02-12,1,0,415,399
BOSTON,2020-02-13,1,0,392,388
BOSTON,2020-02-14,1,0,450,421
BOSTON,2020-02-15,1,0,312,282
BOSTON,2020-02-16,1,0,326,335
BOSTON,2020-02-17,1,0,380,376
BOSTON,2020-02-18,1,0,403,410
BOSTON,2020-02-19,1,0,436,398
BOSTON,2020-02-20,1,0,432,407
BOSTON,2020-02-21,1,0,430,421
BOSTON,2020-02-22,1,0,356,343
BOSTON,2020-02-23,1,0,326,334
BOSTON,2020-02-24,1,0,418,398
BOSTON,2020-02-25,1,0,432,411
BOSTON,2020-02-26,1,0,422,395
BOSTON,2020-02-27,1,0,431,419
BOSTON,2020-02-28,1,0,447,433
BOSTON,2020-02-29,1,0,366,338
BOSTON,2020-03-01,1,0,317,291
BOSTON,2020-03-02,1,0,414,380
BOSTON,2020-03-03,1,0,403,386
BOSTON,2020-03-04,1,0,399,363
BOSTON,2020-03-05,1,0,420,395
BOSTON,2020-03-06,4,0,416,384
BOSTON,2020-03-07,4,0,344,317
BOSTON,2020-03-08,9,0,345,326
BOSTON,2020-03-09,10,0,394,388
BOSTON,2020-03-10,20,0,393,381
BOSTON,2020-03-11,20,0,403,389
BOSTON,2020-03-12,22,0,414,405
BOSTON,2020-03-13,26,0,395,357
BOSTON,2020-03-14,27,0,337,313
BOSTON,2020-03-15,31,0,343,304
BOSTON,2020-03-16,42,0,382,345
BOSTON,2020-03-17,42,0,363,342
BOSTON,2020-03-18,51,0,364,333
BOSTON,2020-03-19,72,0,357,334
BOSTON,2020-03-20,87,1,349,318
