City,Date,Cases,Deaths
Bexar,2020-02-12,1,0
Bexar,2020-02-13,2,0
Bexar,2020-02-14,2,0
Bexar,2020-02-15,2,0
Bexar,2020-02-16,2,0
Bexar,2020-02-17,2,0
Bexar,2020-02-18,2,0
Bexar,2020-02-19,2,0
Bexar,2020-02-20,2,0
Bexar,2020-02-21,4,0
Bexar,2020-02-22,4,0
Bexar,2020-02-23,4,0
Bexar,2020-02-24,10,0
Bexar,2020-02-25,10,0
Bexar,2020-02-26,10,0
Bexar,2020-02-27,10,0
Bexar,2020-02-28,11,0
Bexar,2020-02-29,11,0
Bexar,2020-03-01,11,0
Bexar,2020-03-02,11,0
Bexar,2020-03-03,11,0
Bexar,2020-03-04,11,0
Bexar,2020-03-05,11,0
Bexar,2020-03-06,11,0
Bexar,2020-03-07,11,0
Bexar,2020-03-08,11,0
Bexar,2020-03-09,11,0
Bexar,2020-03-10,11,0
Bexar,2020-03-11,11,0
Bexar,2020-03-12,11,0
Bexar,2020-03-13,11,0
Bexar,2020-03-14,12,0
Bexar,2020-03-15,12,0
Bexar,2020-03-16,13,0
Bexar,2020-03-17,13,0
Bexar,2020-03-18,13,0
Bexar,2020-03-19,17,0
Bexar,2020-03-20,40,0
Bexar,2020-03-21,50,0
Bexar,2020-03-22,50,1
Bexar,2020-03-23,50,1
Bexar,2020-03-24,68,1
Bexar,2020-03-25,69,1
Bexar,2020-03-26,84,3
Bexar,2020-03-27,113,5
Bexar,2020-03-28,125,5
Bexar,2020-03-29,140,5
Bexar,2020-03-30,157,5
Bexar,2020-03-31,207,9
Bexar,2020-04-01,229,9
Bexar,2020-04-02,254,9
Bexar,2020-04-03,342,10
Bexar,2020-04-04,395,11
Bexar,2020-04-05,421,11
Bexar,2020-04-06,467,12
Bexar,2020-04-07,514,18
Bexar,2020-04-08,514,18
Bexar,2020-04-09,626,22
Bexar,2020-04-10,676,24
Bexar,2020-04-11,723,24
Bexar,2020-04-12,734,27
Bexar,2020-04-13,783,27
Bexar,2020-04-14,805,33
Bexar,2020-04-15,901,37
Bexar,2020-04-16,901,37
Bexar,2020-04-17,970,37
Bexar,2020-04-18,1003,38
Bexar,2020-04-19,1015,39
Bexar,2020-04-20,1040,39
Bexar,2020-04-21,1080,39
Bexar,2020-04-22,1126,39
Cook,2020-01-24,1,0
Cook,2020-01-25,1,0
Cook,2020-01-26,1,0
Cook,2020-01-27,1,0
Cook,2020-01-28,1,0
Cook,2020-01-29,1,0
Cook,2020-01-30,2,0
Cook,2020-01-31,2,0
Cook,2020-02-01,2,0
Cook,2020-02-02,2,0
Cook,2020-02-03,2,0
Cook,2020-02-04,2,0
Cook,2020-02-05,2,0
Cook,2020-02-06,2,0
Cook,2020-02-07,2,0
Cook,2020-02-08,2,0
Cook,2020-02-09,2,0
Cook,2020-02-10,2,0
Cook,2020-02-11,2,0
Cook,2020-02-12,2,0
Cook,2020-02-13,2,0
Cook,2020-02-14,2,0
Cook,2020-02-15,2,0
Cook,2020-02-16,2,0
Cook,2020-02-17,2,0
Cook,2020-02-18,2,0
Cook,2020-02-19,2,0
Cook,2020-02-20,2,0
Cook,2020-02-21,2,0
Cook,2020-02-22,2,0
Cook,2020-02-23,2,0
Cook,2020-02-24,2,0
Cook,2020-02-25,2,0
