callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day
JAL5,JL5,867ff0,JA735J,B77W,KJFK,RJTT,2020-03-30 17:20:48+00:00,2020-03-31 07:06:16+00:00,2020-03-31 00:00:00+00:00
BAW179,BA179,4005c1,G-RAES,B772,EGLL,KJFK,2020-03-30 17:47:06+00:00,2020-03-31 00:17:21+00:00,2020-03-31 00:00:00+00:00
AAR221,OZ221,71c360,,,KJFK,RKSI,2020-03-30 18:19:52+00:00,2020-03-31 09:09:06+00:00,2020-03-31 00:00:00+00:00
CAO1020,CA1020,780d8f,B-2094,B77L,KJFK,,2020-03-30 18:36:37+00:00,2020-03-31 06:30:50+00:00,2020-03-31 00:00:00+00:00
DAL446,DL446,a0d1f3,N152DL,B763,KLAX,KJFK,2020-03-30 19:51:10+00:00,2020-03-31 00:11:59+00:00,2020-03-31 00:00:00+00:00
DAL610,DL610,a95dba,N702TW,B752,KJFK,KSFO,2020-03-30 20:09:37+00:00,2020-03-31 01:58:29+00:00,2020-03-31 00:00:00+00:00
ASA1024,AS1024,a2c087,N277AK,B739,KSFO,KJFK,2020-03-30 20:27:46+00:00,2020-03-31 01:17:50+00:00,2020-03-31 00:00:00+00:00
AAL1587,AA1587,ab4c15,N827NN,B738,KJFK,KPHX,2020-03-30 20:30:44+00:00,2020-03-31 01:36:41+00:00,2020-03-31 00:00:00+00:00
JBU89,B689,ada227,N978JB,A321,KJFK,KSAN,2020-03-30 20:33:22+00:00,2020-03-31 02:11:59+00:00,2020-03-31 00:00:00+00:00
AAL306,AA306,a01c37,N106NN,A321,KJFK,KLAX,2020-03-30 21:05:50+00:00,2020-03-31 02:47:53+00:00,2020-03-31 00:00:00+00:00
UAL2775,,a2e014,N2846U,,KSFO,VHHH,2020-03-29 00:15:57+00:00,2020-03-30 10:35:25+00:00,2020-03-30 00:00:00+00:00
BAW3461,BA3461,406948,G-STBH,B77W,EGLL,KSFO,2020-03-29 15:21:38+00:00,2020-03-30 02:05:27+00:00,2020-03-30 00:00:00+00:00
UAL893,UA893,a13de2,N17963,B789,KSFO,RKSI,2020-03-29 17:53:12+00:00,2020-03-30 05:47:44+00:00,2020-03-30 00:00:00+00:00
UAL838,UA838,a2b8b8,N2747U,,KSFO,KSFO,2020-03-29 18:27:21+00:00,2020-03-30 16:16:11+00:00,2020-03-30 00:00:00+00:00
