City,Date,Cases,Deaths
Allegheny,2020-03-14,1,0
Allegheny,2020-03-15,3,0
Allegheny,2020-03-16,5,0
Allegheny,2020-03-17,10,0
Allegheny,2020-03-18,12,0
Allegheny,2020-03-19,18,0
Allegheny,2020-03-20,28,0
Allegheny,2020-03-21,31,1
Allegheny,2020-03-22,40,1
Allegheny,2020-03-23,48,1
Allegheny,2020-03-24,58,2
Allegheny,2020-03-25,88,2
Allegheny,2020-03-26,133,2
Allegheny,2020-03-27,158,2
Allegheny,2020-03-28,219,2
Allegheny,2020-03-29,265,2
Allegheny,2020-03-30,290,2
Allegheny,2020-03-31,325,2
Allegheny,2020-04-01,356,2
Allegheny,2020-04-02,419,2
Allegheny,2020-04-03,476,2
Allegheny,2020-04-04,552,3
Allegheny,2020-04-05,605,4
Allegheny,2020-04-06,642,4
Allegheny,2020-04-07,689,6
Allegheny,2020-04-08,720,10
Allegheny,2020-04-09,759,12
Allegheny,2020-04-10,788,18
Allegheny,2020-04-11,836,19
Allegheny,2020-04-12,857,19
Allegheny,2020-04-13,876,21
Allegheny,2020-04-14,893,24
Allegheny,2020-04-15,904,26
Allegheny,2020-04-16,925,38
Allegheny,2020-04-17,947,43
Allegheny,2020-04-18,1009,47
Allegheny,2020-04-19,1035,50
Allegheny,2020-04-20,1042,55
Allegheny,2020-04-21,1059,67
Allegheny,2020-04-22,1088,74
Allegheny,2020-04-23,1149,69
Allegheny,2020-04-24,1177,71
Allegheny,2020-04-25,1198,73
Allegheny,2020-04-26,1211,73
Allegheny,2020-04-27,1224,79
Allegheny,2020-04-28,1235,87
Allegheny,2020-04-29,1273,86
Allegheny,2020-04-30,1289,94
Baltimore city,2020-03-15,1,0
Baltimore city,2020-03-16,1,0
Baltimore city,2020-03-17,3,0
Baltimore city,2020-03-18,7,0
Baltimore city,2020-03-19,7,0
Baltimore city,2020-03-20,11,0
Baltimore city,2020-03-21,15,0
Baltimore city,2020-03-22,24,0
Baltimore city,2020-03-23,31,0
Baltimore city,2020-03-24,41,0
Baltimore city,2020-03-25,53,0
Baltimore city,2020-03-26,72,0
Baltimore city,2020-03-27,103,0
Baltimore city,2020-03-28,112,2
Baltimore city,2020-03-29,129,2
Baltimore city,2020-03-30,152,2
Baltimore city,2020-03-31,187,2
Baltimore city,2020-04-01,187,2
Baltimore city,2020-04-02,265,2
Baltimore city,2020-04-03,313,4
Baltimore city,2020-04-04,343,6
Baltimore city,2020-04-05,394,7
Baltimore city,2020-04-06,435,8
Baltimore city,2020-04-07,459,9
Baltimore city,2020-04-08,571,10
Baltimore city,2020-04-09,638,13
Baltimore city,2020-04-10,689,17
Baltimore city,2020-04-11,756,22
Baltimore city,2020-04-12,812,24
Baltimore city,2020-04-13,873,26
Baltimore city,2020-04-14,962,29
Baltimore city,2020-04-15,1060,26
Baltimore city,2020-04-16,1160,31
Baltimore city,2020-04-17,1273,38
Baltimore city,2020-04-18,1378,40
Baltimore city,2020-04-19,1392,46
Baltimore city,2020-04-20,1511,49
Baltimore city,2020-04-21,1542,54
Baltimore city,2020-04-22,1602,58
Baltimore city,2020-04-23,1672,60
Baltimore city,2020-04-24,1728,65
Baltimore city,2020-04-25,1791,72
Baltimore city,2020-04-26,1866,73
Baltimore city,2020-04-27,1933,82
Baltimore city,2020-04-28,1977,83
Baltimore city,2020-04-29,2014,94
Baltimore city,2020-04-30,2068,104
Bexar,2020-02-12,1,0
Bexar,2020-02-13,2,0
Bexar,2020-02-14,2,0
Bexar,2020-02-15,2,0
Bexar,2020-02-16,2,0
Bexar,2020-02-17,2,0
Bexar,2020-02-18,2,0
Bexar,2020-02-19,2,0
Bexar,2020-02-20,2,0
Bexar,2020-02-21,4,0
Bexar,2020-02-22,4,0
Bexar,2020-02-23,4,0
Bexar,2020-02-24,10,0
Bexar,2020-02-25,10,0
Bexar,2020-02-26,10,0
Bexar,2020-02-27,10,0
Bexar,2020-02-28,11,0
Bexar,2020-02-29,11,0
Bexar,2020-03-01,11,0
Bexar,2020-03-02,11,0
Bexar,2020-03-03,11,0
Bexar,2020-03-04,11,0
Bexar,2020-03-05,11,0
Bexar,2020-03-06,11,0
Bexar,2020-03-07,11,0
Bexar,2020-03-08,11,0
Bexar,2020-03-09,11,0
Bexar,2020-03-10,11,0
Bexar,2020-03-11,11,0
Bexar,2020-03-12,11,0
Bexar,2020-03-13,11,0
Bexar,2020-03-14,12,0
Bexar,2020-03-15,12,0
Bexar,2020-03-16,13,0
Bexar,2020-03-17,13,0
Bexar,2020-03-18,13,0
Bexar,2020-03-19,17,0
Bexar,2020-03-20,40,0
Bexar,2020-03-21,50,0
Bexar,2020-03-22,50,1
Bexar,2020-03-23,50,1
Bexar,2020-03-24,68,1
Bexar,2020-03-25,69,1
Bexar,2020-03-26,84,3
Bexar,2020-03-27,113,5
Bexar,2020-03-28,125,5
Bexar,2020-03-29,140,5
Bexar,2020-03-30,157,5
Bexar,2020-03-31,207,9
Bexar,2020-04-01,229,9
Bexar,2020-04-02,254,9
Bexar,2020-04-03,342,10
Bexar,2020-04-04,395,11
Bexar,2020-04-05,421,11
Bexar,2020-04-06,467,12
Bexar,2020-04-07,514,18
Bexar,2020-04-08,514,18
Bexar,2020-04-09,626,22
Bexar,2020-04-10,676,24
Bexar,2020-04-11,723,24
Bexar,2020-04-12,734,27
Bexar,2020-04-13,783,27
Bexar,2020-04-14,805,33
Bexar,2020-04-15,901,37
Bexar,2020-04-16,901,37
Bexar,2020-04-17,970,37
Bexar,2020-04-18,1003,38
Bexar,2020-04-19,1015,39
Bexar,2020-04-20,1040,39
